epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,151.451,0.91017,1.45361,1.14411,0.64321,0.58064,0.59403,0.4216,1.05244,1.25367,1.20151,0.00332978,0.00332978,0.00332978
2,300.007,1.03153,1.37345,1.23234,0.57081,0.44217,0.46814,0.32049,1.20825,1.60582,1.31261,0.00655317,0.00655317,0.00655317
3,447.473,1.24276,1.85387,1.37869,0.44584,0.3157,0.29589,0.1808,1.47125,2.14616,1.55861,0.00966656,0.00966656,0.00966656
4,594.191,1.38572,2.19131,1.49856,0.42518,0.33016,0.30262,0.18638,1.47907,2.13975,1.55974,0.009505,0.009505,0.009505
5,740.919,1.34325,2.07154,1.46796,0.47217,0.35533,0.34901,0.22231,1.40221,1.94971,1.48994,0.00934,0.00934,0.00934
6,887.57,1.29771,1.95234,1.43642,0.50698,0.37015,0.3758,0.24202,1.36854,1.82433,1.47124,0.009175,0.009175,0.009175
7,1034.32,1.26043,1.84972,1.41162,0.52778,0.40142,0.41513,0.26952,1.31062,1.76956,1.42438,0.00901,0.00901,0.00901
8,1181.44,1.22381,1.7645,1.3844,0.54434,0.43023,0.43926,0.28986,1.28954,1.68815,1.39994,0.008845,0.008845,0.008845
9,1328.55,1.20368,1.69743,1.36767,0.56757,0.43616,0.45592,0.30604,1.25684,1.62182,1.3814,0.00868,0.00868,0.00868
10,1475.44,1.18032,1.65141,1.35873,0.5937,0.43284,0.46553,0.31323,1.25006,1.61193,1.37439,0.008515,0.008515,0.008515
11,1622.6,1.15271,1.58297,1.33193,0.58933,0.47698,0.4945,0.32979,1.21844,1.51842,1.34975,0.00835,0.00835,0.00835
12,1769.86,1.14419,1.53898,1.32264,0.57388,0.46888,0.48855,0.3346,1.21542,1.53037,1.35073,0.008185,0.008185,0.008185
13,1916.9,1.12424,1.49385,1.3141,0.59133,0.488,0.50967,0.34822,1.19857,1.47077,1.33978,0.00802,0.00802,0.00802
14,2063.88,1.11495,1.45646,1.30436,0.60119,0.47301,0.51114,0.35097,1.19541,1.45843,1.33003,0.007855,0.007855,0.007855
15,2211.11,1.09263,1.41031,1.29181,0.60399,0.48631,0.5168,0.35751,1.19189,1.46181,1.33116,0.00769,0.00769,0.00769
16,2358.27,1.08199,1.3736,1.28214,0.61209,0.5086,0.53013,0.36686,1.16469,1.40828,1.31308,0.007525,0.007525,0.007525
17,2505.41,1.0669,1.34659,1.27323,0.65187,0.49749,0.54202,0.37361,1.15855,1.37566,1.3078,0.00736,0.00736,0.00736
18,2652.55,1.05745,1.32038,1.2625,0.61337,0.52287,0.54208,0.3779,1.1519,1.3699,1.2978,0.007195,0.007195,0.007195
19,2799.7,1.04525,1.28495,1.25653,0.65859,0.49722,0.54558,0.37908,1.13963,1.35768,1.29934,0.00703,0.00703,0.00703
20,2946.84,1.02709,1.25581,1.24641,0.6361,0.52378,0.55706,0.3917,1.12499,1.34141,1.28373,0.006865,0.006865,0.006865
21,3094.12,1.03062,1.2511,1.2433,0.65414,0.50023,0.55437,0.3912,1.13472,1.33501,1.28825,0.0067,0.0067,0.0067
22,3241.47,1.01502,1.21327,1.2368,0.67241,0.51122,0.5683,0.4016,1.12425,1.29669,1.2882,0.006535,0.006535,0.006535
23,3388.87,1.00492,1.18747,1.22819,0.66912,0.53101,0.57345,0.4064,1.12295,1.28772,1.27629,0.00637,0.00637,0.00637
24,3536.05,0.99724,1.17279,1.21963,0.66513,0.52841,0.57665,0.41032,1.11486,1.28304,1.27823,0.006205,0.006205,0.006205
25,3683.41,0.98493,1.13972,1.21175,0.66695,0.53543,0.58009,0.41174,1.11344,1.27661,1.27685,0.00604,0.00604,0.00604
26,3830.59,0.97003,1.12342,1.20335,0.6388,0.56088,0.58329,0.41919,1.10535,1.25968,1.2732,0.005875,0.005875,0.005875
27,3977.69,0.96506,1.09656,1.20143,0.67168,0.53864,0.58668,0.41891,1.10631,1.25909,1.26986,0.00571,0.00571,0.00571
28,4124.91,0.95771,1.08528,1.19524,0.65773,0.56453,0.59414,0.42148,1.10862,1.24351,1.27708,0.005545,0.005545,0.005545
29,4272.21,0.94678,1.06134,1.18553,0.66007,0.54956,0.59139,0.42029,1.10944,1.23033,1.27573,0.00538,0.00538,0.00538
30,4419.34,0.9402,1.03406,1.181,0.68519,0.54389,0.59156,0.42621,1.10212,1.24475,1.26929,0.005215,0.005215,0.005215
31,4566.89,0.934,1.02371,1.17289,0.66056,0.54587,0.59087,0.4242,1.09939,1.24075,1.26901,0.00505,0.00505,0.00505
32,4714.01,0.91742,0.99142,1.16364,0.67367,0.54506,0.59464,0.43031,1.0931,1.22049,1.26324,0.004885,0.004885,0.004885
33,4861.54,0.91267,0.98197,1.15984,0.67562,0.56138,0.60338,0.4333,1.09944,1.21849,1.26881,0.00472,0.00472,0.00472
34,5009.14,0.9073,0.96239,1.15727,0.67633,0.56151,0.60039,0.43055,1.09725,1.22186,1.27519,0.004555,0.004555,0.004555
35,5156.41,0.89937,0.94341,1.14971,0.6912,0.54907,0.5986,0.42904,1.09154,1.20791,1.26542,0.00439,0.00439,0.00439
36,5303.9,0.88832,0.92431,1.14442,0.67374,0.5583,0.59647,0.42676,1.10015,1.22714,1.27619,0.004225,0.004225,0.004225
37,5451.28,0.88366,0.90566,1.13809,0.68997,0.54984,0.60037,0.43255,1.09106,1.2299,1.26553,0.00406,0.00406,0.00406
38,5598.51,0.87391,0.8917,1.13301,0.69168,0.55721,0.59903,0.43112,1.09447,1.22946,1.26586,0.003895,0.003895,0.003895
39,5745.75,0.86589,0.87194,1.1279,0.6868,0.55548,0.60339,0.43265,1.09692,1.22082,1.27406,0.00373,0.00373,0.00373
40,5892.97,0.85729,0.86239,1.12203,0.67625,0.55653,0.60271,0.43307,1.10144,1.22269,1.27541,0.003565,0.003565,0.003565
41,6040.15,0.85058,0.84467,1.11697,0.67493,0.56029,0.60512,0.4356,1.10208,1.22034,1.27355,0.0034,0.0034,0.0034
42,6187.72,0.84515,0.8228,1.10931,0.69866,0.55971,0.60506,0.43732,1.09897,1.21875,1.26845,0.003235,0.003235,0.003235
43,6335.11,0.83518,0.80833,1.10287,0.69314,0.56376,0.60636,0.4377,1.09948,1.2224,1.26907,0.00307,0.00307,0.00307
44,6482.5,0.82776,0.78657,1.09465,0.70921,0.54799,0.60643,0.43722,1.09823,1.22515,1.26831,0.002905,0.002905,0.002905
45,6629.66,0.81707,0.77064,1.09181,0.6782,0.56253,0.60506,0.43577,1.09826,1.22837,1.2707,0.00274,0.00274,0.00274
